epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,875.393,1.13588,2.75996,1.46944,0.63292,0.27854,0.29087,0.16288,1.37376,4.39032,1.75024,0.000332011,0.000332011,0.000332011
2,1681.31,1.19971,2.13687,1.49851,0.42315,0.29974,0.32674,0.18092,1.41073,3.50883,1.77126,0.00065217,0.00065217,0.00065217
3,2475.99,1.2385,2.02405,1.51995,0.60949,0.23923,0.24172,0.14072,1.42561,3.53999,1.82764,0.00095913,0.00095913,0.00095913
4,3267.16,1.22371,1.81218,1.49866,0.34423,0.45005,0.35427,0.20123,1.46742,2.98802,1.86439,0.0009406,0.0009406,0.0009406
5,4056.86,1.19186,1.67907,1.45954,0.51756,0.42235,0.43188,0.25372,1.44735,2.70275,1.80222,0.0009208,0.0009208,0.0009208
6,4849.85,1.19575,1.54949,1.45786,0.42154,0.41386,0.35635,0.19869,1.42164,2.69492,1.74811,0.000901,0.000901,0.000901
7,5639.58,1.1441,1.46206,1.43073,0.54958,0.3792,0.38385,0.21564,1.43963,2.79757,1.80688,0.0008812,0.0008812,0.0008812
8,6427.38,1.1074,1.37215,1.39791,0.52456,0.47064,0.48577,0.2884,1.34943,2.14442,1.72526,0.0008614,0.0008614,0.0008614
9,7213.05,1.1167,1.34256,1.41808,0.68267,0.42408,0.51997,0.33212,1.29096,2.18739,1.6619,0.0008416,0.0008416,0.0008416
10,7991.91,1.07027,1.26733,1.38277,0.63326,0.53012,0.56226,0.35873,1.2863,1.99153,1.66054,0.0008218,0.0008218,0.0008218
11,8779.26,1.06842,1.23738,1.3767,0.59354,0.5264,0.55674,0.34369,1.2649,1.98423,1.62119,0.000802,0.000802,0.000802
12,9568.7,1.05631,1.19283,1.36799,0.62664,0.5192,0.56241,0.34366,1.30393,2.10689,1.66596,0.0007822,0.0007822,0.0007822
13,10360.8,1.0555,1.1852,1.36186,0.72285,0.4279,0.54287,0.3492,1.28748,2.1939,1.63559,0.0007624,0.0007624,0.0007624
14,11146.1,1.00701,1.125,1.3381,0.62265,0.54147,0.56932,0.36902,1.24121,1.97322,1.59892,0.0007426,0.0007426,0.0007426
15,11931.3,1.01675,1.10198,1.34398,0.60531,0.55068,0.56339,0.36191,1.24404,2.08377,1.62139,0.0007228,0.0007228,0.0007228
16,12718.1,0.9981,1.09397,1.31707,0.6243,0.50061,0.54882,0.35377,1.25565,2.2358,1.61603,0.000703,0.000703,0.000703
17,13511.2,0.99615,1.0376,1.30947,0.63165,0.54977,0.58666,0.37966,1.22926,1.91556,1.60778,0.0006832,0.0006832,0.0006832
18,14297.2,1.00164,1.02127,1.32373,0.69448,0.52709,0.61094,0.39984,1.2104,1.83825,1.5938,0.0006634,0.0006634,0.0006634
19,15082.7,0.99874,1.02185,1.32568,0.64562,0.53188,0.59124,0.39135,1.24036,2.05661,1.59838,0.0006436,0.0006436,0.0006436
20,15868.4,0.97537,0.96341,1.30284,0.66257,0.55661,0.63584,0.41993,1.21953,1.80184,1.56662,0.0006238,0.0006238,0.0006238
21,16656.9,0.95648,0.94145,1.2958,0.71582,0.57165,0.66232,0.42491,1.25794,1.62603,1.60646,0.000604,0.000604,0.000604
